GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JWT-with-Spring-Security,com.spring.jwt.config,SslConfig,16,0,0,0,6,0,4,0,4,0
JWT-with-Spring-Security,com.spring.jwt.config,SecurityHeadersConfig.new OncePerRequestFilter() {...},34,0,0,0,9,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.config,RateLimitingAspect,180,0,16,0,48,0,17,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config,RateLimitingConfig,49,0,0,0,15,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config,SecurityHeadersConfig,242,0,0,0,14,0,12,0,12,0
JWT-with-Spring-Security,com.spring.jwt.config,AppConfig.new CorsConfigurationSource() {...},80,0,0,0,9,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.config,SchedulingConfig,32,0,0,0,11,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config,AppConfig,575,0,0,0,65,0,18,0,18,0
JWT-with-Spring-Security,com.spring.jwt.config,OpenApiConfig,63,0,0,0,22,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.dto,ResponseAllUsersDto,322,0,46,0,17,0,47,0,24,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserProfileDTO,170,0,30,0,6,0,27,0,12,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserProfileDTO1,471,0,80,0,25,0,65,0,25,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserDTO,936,0,158,0,48,0,125,0,46,0
JWT-with-Spring-Security,com.spring.jwt.dto,ResetPassword,155,0,30,0,4,0,26,0,11,0
JWT-with-Spring-Security,com.spring.jwt.dto,PageResponseDto,194,0,22,0,8,0,27,0,16,0
JWT-with-Spring-Security,com.spring.jwt.dto,TokenResponse,124,0,22,0,5,0,21,0,10,0
JWT-with-Spring-Security,com.spring.jwt.dto,DealerDTO,667,0,128,0,17,0,101,0,37,0
JWT-with-Spring-Security,com.spring.jwt.dto,EmailVerificationMapper,41,0,0,0,11,0,2,0,2,0
JWT-with-Spring-Security,com.spring.jwt.dto,ResponseDto,182,0,30,0,8,0,29,0,14,0
JWT-with-Spring-Security,com.spring.jwt.dto,RefreshTokenRequest,81,0,14,0,4,0,15,0,8,0
JWT-with-Spring-Security,com.spring.jwt.dto,UserUpdateRequest,38,0,0,0,7,0,11,0,11,0
JWT-with-Spring-Security,com.spring.jwt.dto,LoginRequest,115,0,22,0,3,0,20,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter,102,0,6,0,16,0,9,0,6,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter,151,0,28,0,39,0,23,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper,255,0,20,0,56,0,18,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,CustomAuthenticationProvider,155,0,16,0,40,0,16,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtTokenAuthenticationFilter,598,0,78,0,151,0,53,0,14,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtUsernamePasswordAuthenticationFilter,322,0,4,0,83,0,9,0,7,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter,586,0,32,0,152,0,25,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter.RefreshTokenAuthentication,35,0,0,0,14,0,9,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter,18,0,0,0,7,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SecurityHeadersFilter,47,0,0,0,15,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter.RequestCounter,29,0,0,0,11,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper,293,0,26,0,61,0,21,0,8,0
JWT-with-Spring-Security,com.spring.jwt.entity,B2BCars,38,0,0,0,7,0,11,0,11,0
JWT-with-Spring-Security,com.spring.jwt.entity,PendingB2B,96,0,0,0,12,0,20,0,20,0
JWT-with-Spring-Security,com.spring.jwt.entity,InspectionReport,206,0,0,0,24,0,42,0,42,0
JWT-with-Spring-Security,com.spring.jwt.entity,ProfilePhoto1,36,0,0,0,6,0,8,0,8,0
JWT-with-Spring-Security,com.spring.jwt.entity,UserForm,176,0,0,0,20,0,36,0,36,0
JWT-with-Spring-Security,com.spring.jwt.entity,Type,15,0,0,0,3,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.entity,Status,71,0,4,0,13,0,6,0,4,0
JWT-with-Spring-Security,com.spring.jwt.entity,PremiumCar,366,0,0,0,39,0,72,0,72,0
JWT-with-Spring-Security,com.spring.jwt.entity,BrandData,46,0,0,0,8,0,10,0,10,0
